iteration	J-0	J-1	J-2	J-3	J-4	J-5	J-6	J-7	J-8	J-9	J-10	J-11	J-12	J-13	J-14	J-15	J-16	J-17	Sensor
64	-0.395417	1.88379	-0.510079	0.36652	1.74571	-0.51394	-0.395417	1.88379	-0.510079	0.36652	1.74571	-0.51394	-0.395417	1.88379	-0.510079	0.36652	1.74571	-0.51394	-0.000281312
65	-0.402652	1.86941	-0.520309	0.37633	1.7491	-0.51238	-0.402652	1.86941	-0.520309	0.37633	1.7491	-0.51238	-0.402652	1.86941	-0.520309	0.37633	1.7491	-0.51238	-0.000496104
66	-0.409351	1.85497	-0.530198	0.385397	1.75368	-0.510445	-0.409351	1.85497	-0.530198	0.385397	1.75368	-0.510445	-0.409351	1.85497	-0.530198	0.385397	1.75368	-0.510445	0.0162948
67	-0.415401	1.84058	-0.539595	0.39365	1.75952	-0.508215	-0.415401	1.84058	-0.539595	0.39365	1.75952	-0.508215	-0.415401	1.84058	-0.539595	0.39365	1.75952	-0.508215	0.058405
68	-0.420686	1.82639	-0.548353	0.401013	1.76666	-0.505778	-0.420686	1.82639	-0.548353	0.401013	1.76666	-0.505778	-0.420686	1.82639	-0.548353	0.401013	1.76666	-0.505778	0.106559
69	-0.425087	1.81256	-0.556338	0.407406	1.77515	-0.503235	-0.425087	1.81256	-0.556338	0.407406	1.77515	-0.503235	-0.425087	1.81256	-0.556338	0.407406	1.77515	-0.503235	0.147986
70	-0.428486	1.79926	-0.563431	0.412745	1.78497	-0.500686	-0.428486	1.79926	-0.563431	0.412745	1.78497	-0.500686	-0.428486	1.79926	-0.563431	0.412745	1.78497	-0.500686	0.142864
71	-0.430775	1.78667	-0.569529	0.416951	1.79612	-0.498236	-0.430775	1.78667	-0.569529	0.416951	1.79612	-0.498236	-0.430775	1.78667	-0.569529	0.416951	1.79612	-0.498236	0.139827
72	-0.431858	1.77495	-0.574555	0.419944	1.80853	-0.495983	-0.431858	1.77495	-0.574555	0.419944	1.80853	-0.495983	-0.431858	1.77495	-0.574555	0.419944	1.80853	-0.495983	0.13871
73	-0.431656	1.76426	-0.578453	0.421655	1.8221	-0.494015	-0.431656	1.76426	-0.578453	0.421655	1.8221	-0.494015	-0.431656	1.76426	-0.578453	0.421655	1.8221	-0.494015	0.137531
74	-0.430112	1.75473	-0.581197	0.422022	1.83672	-0.492408	-0.430112	1.75473	-0.581197	0.422022	1.83672	-0.492408	-0.430112	1.75473	-0.581197	0.422022	1.83672	-0.492408	0.134723
75	-0.427195	1.74647	-0.582788	0.420997	1.85222	-0.491223	-0.427195	1.74647	-0.582788	0.420997	1.85222	-0.491223	-0.427195	1.74647	-0.582788	0.420997	1.85222	-0.491223	0.133143
76	-0.422898	1.73956	-0.583252	0.418544	1.86841	-0.490497	-0.422898	1.73956	-0.583252	0.418544	1.86841	-0.490497	-0.422898	1.73956	-0.583252	0.418544	1.86841	-0.490497	0.130329
77	-0.417244	1.73402	-0.582641	0.414646	1.8851	-0.490251	-0.417244	1.73402	-0.582641	0.414646	1.8851	-0.490251	-0.417244	1.73402	-0.582641	0.414646	1.8851	-0.490251	0.130743
78	-0.410284	1.72986	-0.581031	0.409299	1.90207	-0.490485	-0.410284	1.72986	-0.581031	0.409299	1.90207	-0.490485	-0.410284	1.72986	-0.581031	0.409299	1.90207	-0.490485	0.130922
79	-0.402092	1.72704	-0.578515	0.402516	1.9191	-0.491176	-0.402092	1.72704	-0.578515	0.402516	1.9191	-0.491176	-0.402092	1.72704	-0.578515	0.402516	1.9191	-0.491176	0.130312
80	-0.392765	1.7255	-0.575197	0.394324	1.93599	-0.492288	-0.392765	1.7255	-0.575197	0.394324	1.93599	-0.492288	-0.392765	1.7255	-0.575197	0.394324	1.93599	-0.492288	0.130898
81	-0.382419	1.72514	-0.571193	0.384766	1.95255	-0.493767	-0.382419	1.72514	-0.571193	0.384766	1.95255	-0.493767	-0.382419	1.72514	-0.571193	0.384766	1.95255	-0.493767	0.131012
82	-0.371181	1.72587	-0.566622	0.373891	1.96862	-0.49555	-0.371181	1.72587	-0.566622	0.373891	1.96862	-0.49555	-0.371181	1.72587	-0.566622	0.373891	1.96862	-0.49555	0.131181
